City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,dudinka,69.4058,86.1778,-24.91,95,17,1.44,RU,1699936031
306,manokwari,-0.8667,134.0833,28.77,75,86,3.11,ID,1699936032
307,yuncheng,35.0231,110.9928,11.08,32,0,1.79,CN,1699936032
308,mesolongi,38.3702,21.4295,16.07,81,10,0.65,GR,1699936032
309,nagqu,31.5,92.0,-1.72,24,100,2.65,CN,1699936033
310,atamyrat,37.8357,65.2106,15.48,33,88,1.42,TM,1699936033
311,melfort,52.8667,-104.6177,2.07,69,60,7.72,CA,1699936033
312,mandalgovi,45.7625,106.2708,-1.2,19,31,1.33,MN,1699936034
313,duartina,-22.4144,-49.4039,26.14,41,8,1.48,BR,1699936034
314,el dorado,38.7666,-120.5177,11.92,50,52,1.34,US,1699936035
315,gadzhiyevo,69.2551,33.3362,-9.31,98,95,1.35,RU,1699936035
316,meadow lake,34.8014,-106.5436,10.11,54,0,1.84,US,1699936036
317,mili,6.0815,171.735,27.95,81,100,6.92,MH,1699936036
318,juegang,32.3174,121.1855,11.91,52,5,2.51,CN,1699936036
319,rio grande,-32.035,-52.0986,18.86,95,100,3.13,BR,1699935909
320,haiku-pauwela,20.9219,-156.3051,25.02,68,40,6.69,US,1699936037
321,salalah,17.0151,54.0924,27.05,89,40,1.54,OM,1699936037
322,zhumysker,49.3333,49.4,7.74,88,100,2.63,KZ,1699936038
323,faya-largeau,17.9257,19.1043,23.47,23,87,12.44,TD,1699936029
324,sao miguel do araguaia,-13.275,-50.1628,26.07,43,0,1.48,BR,1699935746
325,qeshm,26.9581,56.2719,21.93,51,73,2.69,IR,1699936039
326,san felipe,10.3399,-68.7425,22.88,98,99,0.8,VE,1699936039
327,tulun,54.5611,100.5792,-0.91,72,100,2.16,RU,1699936039
328,indianola,41.3581,-93.5574,10.61,47,0,1.79,US,1699935746
329,yamada,39.4667,141.95,9.24,60,89,1.75,JP,1699936040
330,shambu,9.5667,37.1,11.35,87,62,1.25,ET,1699936041
331,kiunga,-6.1219,141.2906,34.14,44,76,1.25,PG,1699936041
332,mbaiki,3.8678,17.9892,21.44,97,99,0.59,CF,1699936041
333,mamboma,8.0833,-11.6833,22.81,98,100,0.65,SL,1699936042
334,nantai,40.9241,122.8044,6.49,48,100,1.5,CN,1699936042
335,vom,9.7333,8.7833,20.31,24,100,2.62,NG,1699936043
336,yangambi,0.8102,24.4336,21.52,100,100,1.17,CD,1699936043
337,filiatra,37.15,21.5833,15.39,74,8,3.5,GR,1699936044
338,horta,38.5333,-28.6333,15.57,82,100,2.24,PT,1699936044
339,fort mcmurray,56.7268,-111.381,-3.23,93,100,0.0,CA,1699935818
340,kattivakkam,13.2167,80.3167,26.15,89,100,6.42,IN,1699936044
341,nogliki,51.8333,143.1667,-4.81,68,66,6.71,RU,1699936045
342,anna regina,7.2644,-58.5077,26.62,84,7,4.01,GY,1699936045
343,monze,-16.2833,27.4833,22.1,53,11,3.67,ZM,1699936046
344,bei'an,24.5399,109.533,11.58,78,100,2.25,CN,1699936046
345,aginskoye,51.1,114.53,-2.81,63,59,4.52,RU,1699936046
346,florence,43.7667,11.25,16.8,93,75,1.54,IT,1699936046
347,fale old settlement,-9.3852,-171.2468,26.45,84,100,0.73,TK,1699936047
348,motomachi,43.8228,144.1044,4.01,56,75,4.63,JP,1699936047
349,thompson,55.7435,-97.8558,-2.91,93,75,1.54,CA,1699936048
350,sungailiat,-1.85,106.1333,30.1,69,94,3.07,ID,1699936048
351,teknaf,20.8624,92.3058,28.62,66,99,0.92,BD,1699936049
352,east london,-33.0153,27.9116,14.52,94,75,1.54,ZA,1699936049
353,lively,46.4334,-81.1498,2.79,76,92,4.77,CA,1699936050
354,tutay,10.2463,123.5805,30.97,71,100,0.95,PH,1699936050
355,dalandzadgad,43.5708,104.425,1.84,29,88,1.11,MN,1699936050
356,daloa,6.8774,-6.4502,21.94,96,50,0.63,CI,1699936051
357,usogorsk,63.4106,48.6872,-0.74,94,100,2.6,RU,1699936051
358,kolonia,50.9333,6.95,12.29,75,75,6.69,DE,1699936035
359,yarmouth,41.7057,-70.2286,4.03,79,100,2.06,US,1699936052
360,mutare,-18.9707,32.6709,16.14,90,72,2.56,ZW,1699936053
361,krasnyy yar,46.5331,48.3456,5.96,84,99,3.13,RU,1699936053
362,tahoua,14.8888,5.2692,21.99,18,0,4.12,NE,1699936053
363,ketchikan,55.3422,-131.6461,4.99,87,40,2.57,US,1699935915
